image	descriptor
1.jpg	"[{""label"": ""the certificate"", ""rect_box"": [0.02, 72.36, 450.02, 287.9], ""polygon"": [[449, 75], [0, 75], [0, 282], [449, 282]]}, {""label"": ""film certification"", ""rect_box"": [-0.01, 72.67, 449.98, 287.62], ""polygon"": [[449, 75], [0, 75], [0, 281], [449, 282]]}, {""label"": ""the central board"", ""rect_box"": [0.04, 72.68, 450.04, 287.41], ""polygon"": [[449, 75], [0, 75], [0, 281], [449, 282]]}]"
1136.jpg	"[{""label"": ""- a group of soldiers"", ""rect_box"": [117.88, 180.52, 166.16, 275.55], ""polygon"": [[155, 182], [143, 190], [118, 236], [119, 247], [131, 248], [130, 271], [138, 270], [137, 260], [142, 252], [149, 270], [161, 268], [153, 263], [156, 239], [151, 219], [160, 192]]}, {""label"": ""a group of soldiers"", ""rect_box"": [170.67, 189.56, 200.74, 276.97], ""polygon"": [[181, 232], [176, 237], [172, 252], [177, 256], [178, 271], [181, 272], [184, 267], [187, 266], [187, 270], [191, 273], [194, 259], [189, 246], [187, 232]]}, {""label"": ""a row of cannons"", ""rect_box"": [121.54, 174.91, 450.04, 277.29], ""polygon"": [[134, 267], [133, 268], [134, 269], [135, 269], [136, 268], [135, 267]]}, {""label"": ""traditional indian military uniforms"", ""rect_box"": [119.05, 180.72, 165.76, 274.81], ""polygon"": [[155, 182], [143, 190], [118, 236], [119, 247], [131, 248], [130, 271], [138, 270], [137, 260], [142, 252], [149, 270], [161, 268], [153, 263], [156, 239], [151, 219], [160, 192]]}, {""label"": ""traditional indian military uniforms"", ""rect_box"": [170.8, 189.95, 200.27, 276.38], ""polygon"": [[181, 232], [176, 237], [172, 252], [177, 256], [178, 271], [181, 272], [184, 267], [187, 266], [187, 270], [191, 273], [194, 259], [189, 246], [187, 232]]}, {""label"": ""a group of soldiers"", ""rect_box"": [121.88, 169.98, 157.51, 206.28], ""polygon"": [[150, 172], [144, 172], [141, 175], [141, 182], [128, 192], [123, 198], [126, 199], [136, 192], [138, 197], [145, 188], [146, 189], [150, 182], [151, 177]]}, {""label"": ""a row of cannons"", ""rect_box"": [0.07, 79.28, 122.58, 285.47], ""polygon"": [[0, 146], [0, 210], [21, 215], [32, 267], [42, 277], [79, 277], [96, 260], [107, 226], [107, 138], [78, 138], [77, 126], [62, 126], [60, 140]]}]"
1255.jpg	"[{""label"": ""a group of men"", ""rect_box"": [-0.07, 195.21, 115.85, 288.66], ""polygon"": [[0, 225], [0, 241], [45, 259], [49, 285], [92, 285], [94, 276], [112, 269], [83, 229], [82, 211], [73, 197], [62, 204], [57, 225], [49, 233], [24, 234]]}, {""label"": ""- a warrior a a group of men"", ""rect_box"": [101.33, 109.64, 273.34, 288.74], ""polygon"": [[217, 111], [198, 130], [189, 172], [161, 193], [127, 195], [107, 181], [110, 200], [144, 223], [187, 209], [191, 239], [166, 285], [259, 284], [252, 259], [267, 249], [263, 202], [238, 169], [233, 132]]}, {""label"": ""a group of men"", ""rect_box"": [255.42, 208.58, 358.21, 288.47], ""polygon"": [[257, 264], [261, 270], [283, 270], [290, 260], [294, 285], [351, 284], [353, 257], [338, 235], [331, 239], [331, 246], [323, 239], [322, 220], [314, 209], [306, 215], [299, 239]]}, {""label"": ""helmets"", ""rect_box"": [54.75, 194.84, 88.16, 228.41], ""polygon"": [[69, 197], [64, 201], [58, 213], [58, 220], [69, 218], [78, 220], [82, 223], [83, 214], [81, 207], [75, 198]]}, {""label"": ""helmets"", ""rect_box"": [300.48, 207.67, 328.56, 236.41], ""polygon"": [[312, 209], [307, 213], [303, 221], [303, 233], [306, 227], [316, 226], [321, 230], [322, 235], [323, 235], [321, 216], [317, 210]]}, {""label"": ""helmets"", ""rect_box"": [349.18, 206.04, 374.47, 233.7], ""polygon"": [[351, 220], [351, 221], [356, 220], [363, 223], [369, 222], [368, 213], [365, 209], [363, 208], [358, 208], [356, 210]]}, {""label"": ""a group of men"", ""rect_box"": [111.62, 225.43, 172.87, 288.5], ""polygon"": [[139, 229], [142, 253], [115, 271], [118, 274], [136, 271], [139, 285], [158, 284], [167, 269], [167, 257], [156, 252], [163, 229]]}, {""label"": ""a group of men"", ""rect_box"": [353.49, 211.41, 430.39, 288.41], ""polygon"": [[408, 213], [401, 214], [391, 224], [386, 252], [356, 260], [355, 284], [423, 284], [422, 261], [415, 249], [417, 231]]}, {""label"": ""helmets"", ""rect_box"": [389.27, 210.41, 421.54, 242.27], ""polygon"": [[403, 212], [391, 223], [390, 233], [391, 234], [394, 230], [405, 229], [411, 234], [413, 242], [417, 233], [415, 221], [410, 214]]}, {""label"": ""his right hand"", ""rect_box"": [100.92, 175.7, 129.89, 210.12], ""polygon"": [[99, 185]]}, {""label"": ""a group of men"", ""rect_box"": [414.58, 224.69, 449.83, 288.53], ""polygon"": [[421, 226], [418, 227], [424, 263], [424, 283], [439, 285], [444, 280], [445, 262], [444, 257], [435, 250], [442, 231]]}, {""label"": ""a group of men"", ""rect_box"": [332.54, 206.63, 383.59, 286.88], ""polygon"": [[370, 282], [369, 281], [365, 281], [365, 282], [364, 283], [356, 283], [367, 283], [368, 282], [369, 283]]}, {""label"": ""helmets"", ""rect_box"": [415.6, 224.6, 445.9, 258.27], ""polygon"": [[420, 226], [418, 227], [418, 233], [421, 249], [424, 253], [430, 253], [432, 252], [436, 242], [442, 235], [442, 231], [426, 226]]}, {""label"": ""flags"", ""rect_box"": [16.3, 187.4, 41.61, 259.15], ""polygon"": [[35, 189], [23, 219], [22, 232], [25, 233], [35, 231]]}, {""label"": ""flags"", ""rect_box"": [343.98, 169.45, 369.41, 235.02], ""polygon"": [[364, 171], [362, 171], [362, 178], [349, 210], [345, 233], [349, 232], [347, 227], [350, 225], [354, 212], [358, 207], [362, 207]]}, {""label"": ""helmets"", ""rect_box"": [195.48, 109.18, 238.22, 149.67], ""polygon"": [[213, 112], [206, 118], [198, 129], [198, 141], [199, 142], [212, 136], [221, 138], [232, 144], [233, 132], [227, 120], [220, 112]]}, {""label"": ""flags"", ""rect_box"": [269.9, 179.78, 305.55, 285.88], ""polygon"": [[272, 282], [272, 283], [273, 283], [273, 282]]}, {""label"": ""helmets"", ""rect_box"": [135.63, 225.5, 168.11, 258.71], ""polygon"": [[162, 228], [144, 228], [138, 230], [138, 236], [143, 253], [145, 255], [151, 256], [154, 254], [163, 235]]}, {""label"": ""chainmail shirt"", ""rect_box"": [185.81, 156.71, 244.78, 194.23], ""polygon"": [[238, 163], [234, 158], [231, 158], [221, 171], [215, 172], [208, 169], [201, 162], [198, 162], [189, 173], [198, 183], [215, 189], [229, 183], [236, 177]]}, {""label"": ""his right hand"", ""rect_box"": [-0.02, 219.14, 6.12, 244.35], ""polygon"": [[5, 227], [5, 228], [6, 228], [6, 227]]}, {""label"": ""flags"", ""rect_box"": [13.87, 187.31, 42.05, 286.93], ""polygon"": [[17, 253], [12, 264], [13, 280], [11, 282], [15, 285], [32, 284], [31, 279], [26, 274], [24, 258], [21, 253]]}, {""label"": ""a sword"", ""rect_box"": [95.58, 72.39, 181.44, 286.16], ""polygon"": [[155, 250]]}, {""label"": ""a sword"", ""rect_box"": [95.59, 72.42, 181.27, 211.93], ""polygon"": [[175, 74], [144, 105], [111, 174], [99, 181], [96, 195], [102, 208], [108, 199], [107, 183], [119, 181], [119, 166], [136, 128]]}, {""label"": ""helmets"", ""rect_box"": [387.77, 210.69, 422.15, 254.47], ""polygon"": [[405, 212], [397, 217], [391, 224], [389, 249], [393, 249], [396, 252], [403, 252], [409, 248], [415, 248], [415, 236], [417, 233], [415, 222], [412, 216]]}, {""label"": ""chainmail shirt"", ""rect_box"": [143.63, 166.88, 271.25, 252.09], ""polygon"": [[267, 227], [258, 187], [243, 171], [216, 191], [188, 173], [149, 199], [151, 215], [159, 223], [187, 208], [190, 250], [196, 253], [204, 239], [230, 240], [240, 248], [251, 233]]}, {""label"": ""flags"", ""rect_box"": [99.77, 159.13, 136.97, 285.22], ""polygon"": [[108, 282], [107, 283], [108, 283]]}, {""label"": ""a brown tunicmail shirt"", ""rect_box"": [143.41, 164.3, 272.31, 287.12], ""polygon"": [[253, 269], [253, 270]]}]"
1354.jpg	"[{""label"": ""- a figure medieval attire"", ""rect_box"": [42.02, 94.82, 229.97, 287.78], ""polygon"": [[183, 111], [147, 98], [117, 103], [93, 128], [90, 159], [82, 136], [54, 116], [59, 213], [50, 212], [65, 228], [54, 284], [197, 277], [198, 252], [217, 235], [217, 187]]}, {""label"": ""gloves their right hand"", ""rect_box"": [47.2, 129.36, 105.87, 217.01], ""polygon"": [[76, 132], [70, 137], [63, 132], [51, 163], [56, 181], [56, 204], [63, 214], [83, 211], [102, 201], [86, 145]]}, {""label"": ""a helmet round, reflective helmet"", ""rect_box"": [85.7, 95.58, 224.35, 218.43], ""polygon"": [[93, 128], [89, 150], [106, 217], [194, 196], [215, 198], [208, 149], [181, 110], [153, 99], [128, 99], [105, 112]]}, {""label"": "", reflective helmet"", ""rect_box"": [86.33, 95.1, 217.47, 192.16], ""polygon"": [[89, 142], [101, 182], [130, 167], [163, 160], [189, 162], [208, 155], [188, 116], [146, 98], [121, 101], [105, 112]]}, {""label"": ""a round, reflective helmet"", ""rect_box"": [87.71, 95.79, 213.87, 175.02], ""polygon"": [[207, 148], [190, 118], [146, 98], [124, 100], [105, 112], [89, 143], [100, 181], [114, 171], [144, 163], [204, 158]]}, {""label"": ""figure facial features"", ""rect_box"": [103.44, 195.96, 222.9, 286.32], ""polygon"": [[211, 207], [211, 210], [212, 209], [211, 208]]}, {""label"": ""chainmail"", ""rect_box"": [100.4, 153.57, 217.28, 186.34], ""polygon"": [[208, 155], [138, 165], [112, 172], [100, 183], [201, 166], [203, 175], [212, 174], [215, 178]]}]"
1458.jpg	"[{""label"": ""a helmet"", ""rect_box"": [109.29, 86.94, 158.39, 133.79], ""polygon"": [[134, 88], [131, 91], [131, 95], [119, 104], [112, 123], [114, 125], [120, 119], [135, 116], [145, 119], [152, 130], [154, 120], [150, 107], [138, 95], [138, 90]]}, {""label"": ""- a warrior armor"", ""rect_box"": [66.99, 87.09, 198.23, 287.59], ""polygon"": [[136, 88], [118, 106], [113, 134], [72, 204], [70, 223], [81, 213], [80, 284], [190, 281], [183, 175], [155, 138], [151, 110]]}, {""label"": ""armor"", ""rect_box"": [67.25, 87.24, 198.23, 287.53], ""polygon"": [[136, 88], [118, 106], [113, 134], [72, 204], [70, 223], [81, 213], [80, 284], [190, 281], [183, 175], [155, 138], [151, 110]]}]"
1655.jpg	"[{""label"": ""the scene"", ""rect_box"": [0.01, 1.61, 450.01, 358.01], ""polygon"": [[0, 288], [1, 358], [449, 358], [449, 287]]}, {""label"": ""woman the woman"", ""rect_box"": [215.51, 75.47, 429.34, 287.08], ""polygon"": [[271, 244]]}, {""label"": ""a gold chain necklace"", ""rect_box"": [252.84, 210.32, 324.43, 247.94], ""polygon"": [[255, 213], [268, 218], [267, 228], [272, 236], [265, 245], [271, 242], [278, 230], [290, 239], [302, 241], [312, 237], [320, 229], [319, 227], [306, 237], [294, 238], [280, 230], [278, 223], [268, 215]]}, {""label"": ""- a man the man"", ""rect_box"": [0.01, 72.57, 233.76, 286.61], ""polygon"": [[207, 280], [206, 281], [206, 282], [207, 283], [208, 282], [208, 281]]}]"
1850.jpg	"[{""label"": ""- a woman a queen or princess"", ""rect_box"": [112.85, 105.89, 256.95, 287.65], ""polygon"": [[195, 108], [177, 112], [157, 139], [139, 200], [115, 238], [125, 254], [117, 284], [210, 284], [212, 232], [233, 226], [252, 241], [241, 200], [251, 172], [234, 176], [224, 194], [196, 176], [209, 123]]}, {""label"": ""a queen or princess"", ""rect_box"": [112.94, 105.96, 257.03, 287.68], ""polygon"": [[195, 108], [177, 112], [157, 139], [139, 200], [115, 238], [125, 254], [117, 284], [210, 284], [212, 232], [233, 226], [252, 241], [241, 200], [251, 172], [234, 176], [224, 194], [196, 176], [209, 123]]}, {""label"": ""a grand fountain"", ""rect_box"": [0.14, 143.09, 95.11, 287.67], ""polygon"": [[0, 147], [0, 284], [85, 282], [79, 194], [53, 166], [24, 163]]}, {""label"": ""a queen a white and gold wedding dress"", ""rect_box"": [112.83, 106.27, 256.42, 287.46], ""polygon"": [[195, 108], [177, 112], [157, 139], [139, 200], [115, 238], [125, 254], [117, 284], [210, 284], [212, 232], [233, 226], [252, 241], [241, 200], [251, 172], [234, 176], [224, 194], [196, 176], [209, 123]]}, {""label"": ""a grand fountain"", ""rect_box"": [356.92, 144.61, 450.01, 287.71], ""polygon"": [[446, 151], [434, 149], [430, 156], [393, 166], [384, 182], [371, 180], [363, 234], [369, 284], [449, 284]]}, {""label"": ""a veil"", ""rect_box"": [143.74, 105.92, 213.56, 179.55], ""polygon"": [[197, 171], [196, 172], [195, 172], [194, 173], [193, 172], [189, 172], [192, 175], [193, 175], [194, 176], [194, 175], [196, 173], [196, 172]]}, {""label"": ""a white and gold wedding dress"", ""rect_box"": [113.15, 170.09, 242.3, 287.48], ""polygon"": [[222, 199], [216, 204], [212, 215], [214, 216], [217, 213], [219, 216], [221, 216], [216, 228], [232, 229], [235, 227], [234, 218], [228, 207], [228, 202], [225, 199]]}, {""label"": ""a grand fountain"", ""rect_box"": [0.02, 141.0, 450.02, 287.89], ""polygon"": [[331, 282], [332, 282]]}]"
2058.jpg	"[{""label"": ""the scene"", ""rect_box"": [1.56, 4.04, 448.08, 355.66], ""polygon"": [[0, 287], [1, 358], [449, 357], [445, 293]]}, {""label"": ""- a man"", ""rect_box"": [49.71, 78.93, 268.88, 287.13], ""polygon"": [[209, 89], [177, 81], [142, 102], [124, 180], [144, 200], [143, 239], [53, 284], [259, 284], [217, 251], [234, 163], [227, 114]]}, {""label"": ""white shirt"", ""rect_box"": [49.54, 244.19, 265.76, 287.38], ""polygon"": [[52, 283], [221, 285], [227, 283], [225, 270], [235, 285], [261, 285], [232, 269], [220, 253], [199, 276], [165, 278], [148, 266], [138, 246]]}, {""label"": ""ear"", ""rect_box"": [121.81, 154.56, 144.52, 199.18], ""polygon"": [[128, 156], [125, 157], [124, 163], [126, 185], [131, 188], [135, 197], [139, 197], [142, 194], [141, 161], [138, 158]]}, {""label"": ""beard"", ""rect_box"": [143.44, 179.46, 233.09, 238.19], ""polygon"": [[143, 188], [150, 222], [173, 236], [202, 236], [219, 223], [230, 194], [229, 184], [222, 192], [208, 182], [197, 181], [180, 185], [169, 195], [146, 180]]}, {""label"": ""the man"", ""rect_box"": [121.9, 79.52, 240.27, 240.01], ""polygon"": [[211, 229]]}]"
2296.jpg	"[{""label"": ""a horse the horse"", ""rect_box"": [187.33, 128.44, 449.84, 288.35], ""polygon"": [[200, 282], [201, 283], [202, 283], [203, 284], [204, 283], [207, 283], [208, 282], [207, 281], [201, 281]]}, {""label"": ""traditional turbans"", ""rect_box"": [-0.01, 117.5, 21.42, 154.61], ""polygon"": [[4, 120], [0, 120], [0, 133], [3, 134], [0, 136], [0, 152], [5, 151], [8, 148], [15, 146], [18, 143], [18, 140], [14, 136], [15, 135], [14, 127]]}, {""label"": ""the scene"", ""rect_box"": [-0.02, 3.03, 449.93, 357.78], ""polygon"": [[0, 287], [1, 358], [449, 358], [449, 287]]}, {""label"": ""traditional turbans"", ""rect_box"": [22.22, 147.62, 51.46, 168.16], ""polygon"": [[24, 156], [25, 161], [27, 159], [35, 156], [41, 157], [43, 159], [43, 164], [44, 165], [47, 163], [48, 160], [47, 156], [41, 150], [35, 150], [34, 149], [31, 150]]}, {""label"": ""the scene"", ""rect_box"": [0.03, 71.32, 450.01, 289.44], ""polygon"": [[35, 155], [36, 156], [37, 155], [38, 155], [39, 156], [40, 155]]}, {""label"": ""weapon"", ""rect_box"": [24.51, 181.97, 44.51, 233.52], ""polygon"": [[39, 186], [37, 187], [34, 197], [35, 204], [27, 207], [27, 225], [29, 230], [35, 228], [35, 218], [39, 210], [37, 206], [40, 195]]}, {""label"": ""a man rider"", ""rect_box"": [177.32, 73.51, 290.05, 189.59], ""polygon"": [[225, 134], [224, 133], [223, 134]]}, {""label"": ""people"", ""rect_box"": [5.49, 147.46, 56.72, 277.51], ""polygon"": [[5, 211], [4, 211], [4, 212], [2, 215], [2, 216], [4, 218], [4, 219], [1, 222], [2, 223], [4, 223], [4, 222], [5, 221], [5, 219], [6, 218], [6, 214], [5, 213], [6, 212]]}, {""label"": ""traditional turbans"", ""rect_box"": [106.55, 210.95, 123.63, 223.65], ""polygon"": [[109, 214], [109, 220], [117, 220], [118, 219], [120, 219], [120, 218], [121, 217], [120, 216], [120, 214], [119, 214], [118, 213], [110, 213]]}]"
2447.jpg	"[{""label"": ""- a woman"", ""rect_box"": [223.54, 86.87, 343.28, 286.89], ""polygon"": [[256, 88], [227, 110], [240, 166], [233, 180], [330, 249], [312, 284], [339, 284], [334, 217], [312, 186], [273, 169], [282, 115]]}, {""label"": ""a detailed, patterned cloak"", ""rect_box"": [0.19, 162.9, 336.13, 287.13], ""polygon"": [[221, 272], [221, 273], [222, 273], [222, 272]]}, {""label"": ""the setting"", ""rect_box"": [0.02, 71.4, 450.02, 289.02], ""polygon"": [[134, 75], [0, 75], [0, 242], [69, 189], [115, 165], [135, 125]]}, {""label"": ""the setting"", ""rect_box"": [0.03, 2.22, 450.03, 358.23], ""polygon"": [[449, 285], [1, 287], [0, 357], [449, 358]]}, {""label"": ""a man armor"", ""rect_box"": [-0.09, 72.2, 340.27, 287.5], ""polygon"": [[334, 254], [334, 255], [336, 255], [336, 254]]}, {""label"": ""yellow purple sari"", ""rect_box"": [226.7, 172.34, 343.77, 286.8], ""polygon"": [[338, 283]]}, {""label"": ""a helmet"", ""rect_box"": [241.31, 86.08, 282.88, 117.37], ""polygon"": [[255, 88], [247, 104], [248, 105], [251, 101], [253, 104], [255, 103], [265, 105], [272, 108], [282, 119], [280, 110], [273, 100], [265, 97], [262, 94], [260, 88]]}, {""label"": ""a detailed, patterned cloak"", ""rect_box"": [-0.3, 132.08, 338.87, 287.88], ""polygon"": [[331, 278], [331, 279], [332, 279], [332, 278]]}]"
