Filename	Caption
1.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
The image is a document from the Central Board of Film Certification (CBFC) of the Government of India. It is a certificate for the film ""3
Human"
1136.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A group of soldiers stands beside large cannons at dusk, illuminated by torches. The sky is dark, with a faint hint of sunset on the horizon, casting a reddish glow over the distant mountains. The soldiers, dressed in period-style armor, appear to be preparing for or guarding a military operation. The scene is set in a historical or fantasy context, with the torchlight creating a dramatic and tense atmosphere."
1255.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A warrior clad in dark armor stands prominently in the foreground, brandishing a curved sword aloft. The armor is detailed with intricate designs and a helmet that covers the head and part of the face. Surroundinging the central figure are several other soldiers, also in dark armor, some holding spears. The background is a dark, ominous sky, with faint silhouettes of red flags or banners visible, suggesting a battlefield or encampment. The overall atmosphere is tense and foreboding, indicative of an impending conflict."
1354.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A knight in full armor, including a chainmail coif and a helmet with a visor, holds a sword aloft with a determined expression. The background is blurred, suggesting a battlefield or a medieval setting, with indistinct figures and structures. The lighting is dim and moody, emphasizing the knight's focused demeanor and the historical context of the scene."
1458.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A warrior stands in the foreground, clad in armor with a helmet adorned with a spike. The background is filled with a large, chaotic crowd, suggesting a battle or gathering. The scene is set in a dimly lit environment, with muted colors and a sense of tension and movement."
1655.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A woman with long, dark hair adorned with a nose ring and earrings embraces a man from behind. She rests her head on his shoulder, her eyes closed, and her hand gently placed on his back. The man has short hair and is wearing a patterned garment. The background is softly blurred, featuring intricate architectural details, suggesting an indoor setting with warm, ambient lighting."
1850.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A woman dressed in traditional white attire, adorned with jewelry, is dancing gracefully. She is wearing a headscarf and multiple necklaces, and her hands are decorated with bangles. The background features ornate, golden designs and numerous small, glowing lights, creating a festive and elegant atmosphere."
2058.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A man with a beard and mustache is shown in a dimly lit environment. He has a serious expression, and his face is marked with white lines or paint. He is wearing a white shirt and has a small earring in his left. The background is dark and blurry, suggesting an indoor setting with minimal lighting."
2296.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A majestic elephant adorned with ornate decorations and a rider in traditional attire is the focal point of a vibrant street scene. The elephant is surrounded by a crowd of people, many of whom are are dressed in colorful, traditional clothing. The atmosphere is festive, with bright colors and lively activity, suggesting a cultural or religious celebration. The background features traditional architecture, adding to the rich cultural ambiance."
2447.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A woman adorned in traditional Indian attire, including a yellow and purple saree with intricate patterns, stands facing a man dressed in dark, textured armor. She wears a gold headpiece and jewelry, and her expression is warm and engaging. The background features ornate, arched doorways and hanging chandeliers, suggesting a grand, historical setting. The lighting is soft and warm, creating an intimate and elegant atmosphere."
2650.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A muscular, shirtless man stands in a dimly lit, grand hall with tall columns and intricate carvings. He holds a small object in his right hand and looks upward with a focused expression. The lighting casts dramatic shadows, emphasizing his physique and the ornate surroundings."
283.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A bald man with a white mark on his forehead is wearing a white outfit. He is standing in a dimly lit environment with a soft glow in the background. The background features a circular pattern with lights, creating a mystical or spiritual ambiance."
2880.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A woman in a white dress is sweeping the floor with a broom in a richly decorated room. The room features ornate columns, intricate wall patterns, and warm lighting from candles, creating a historical or opulent atmosphere."
3163.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A regally dressed individual sits on an ornate throne in a lavishly decorated room, adorned with intricate patterns and golden hues. The room is illuminated by numerous chandeliers and candles, casting a warm, opulent glow. In the background, several people in traditional attire stand, adding to the ceremonial atmosphere. The setting suggests a royal or significant cultural event."
3337.jpg	"system
You are a helpful assistant that generates concise captions for images. Focus only on what is visible.
user

You are a highly capable vision-language model. Your task is to write a clear and descriptive caption for the given image.

Follow these rules:
1. Focus on describing what is visible in the image.
2. Be descriptive about the image.
3. Do not make assumptions about context not visible in the image.
5. Do not include special characters or quotes around your caption.

Example:
The image shows a determined female warrior in armor, drawing a bowstring with intense focus. She wears a helmet with protective chainmail covering the sides of her face, and a metallic armguard on her wrist. The background is dimly lit with warm tones, likely from torches or firelight, enhancing the dramatic atmosphere. Her gaze is fixed forward, suggesting she is targeting an enemy or preparing for battle in a historical or epic setting.

assistant
A group of dancers in elaborate, shimmeringing costumes perform gracefully in a grand, ornate hall. The dancers' flowing skirts and synchronized movements create a mesmerizing visual effect. The hall is richly decorated with intricate architectural details, including columns, arches, and elaborate wall designs, bathed in warm, golden lighting that enhances the opulent atmosphere."
